sep=,
project_log_link,type,client,site_name,project_no,shift_start_date,shift_start_day,night_or_day_shift,week_no,leave_place_of_rest,arrive_place_of_rest,total_travel_time,arrive_on_site,leave_site,total_site_time,time_lost,time_lost_2,time_lost_3,time_lost_4,inorail_staff,elr,postcode,miles_from,yards_from,miles_to,yards_to,total_yardage,was_shift_cancelled,staff_attended_count,subcontractors_attended_count,survey_grid,fiscal_week,fiscal_month,fiscal_quarter,fiscal_year,calendar_week,calendar_month,calendar_year
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-03-27_240151_Wyke Tunnel_Thursday_Night_W52_AL.xlsm,Survey,AMCO,WYKE TUNNEL,240151,03/27/2025,Thursday,Night,52,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,52,12,4,2025,13,March,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-04-15_0430_Marylebone Station_Tuesday_Day_W3.xlsm,Survey,AMCO,Marylebone Station,430,04/15/2025,Tuesday,Day,3,08:00:00,14:00:00,04:00:00,10:00:00,12:00:00,02:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,3,1,1,2026,16,April,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-04-22_0430_Marylebone Station_Tuesday_Day_W4.xlsm,Survey,AMCO,Marylebone Station,430,04/22/2025,Tuesday,Day,4,07:00:00,13:00:00,04:00:00,09:30:00,11:30:00,02:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,4,1,1,2026,17,April,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-04-12_240198_WOC AP2 RRAP Compound_Saturday_Day_W3_TM.xlsm,Survey,Network Rail,WOC AP2 RRAP Compound,240198,04/12/2025,Saturday,Day,3,05:00:00,17:00:00,03:30:00,06:30:00,15:00:00,08:30:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,2,1,1,2026,15,April,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-05-01_240356_AMCO_SouththorpeFarm_Thursday_Day_WK5_LB.xlsm,Survey,AMCO,MEC 6761B Souththorpe Farm,240356,05/01/2025,Thursday,Day,5,04:45:00,14:00:00,06:40:00,07:50:00,10:25:00,02:35:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,5,2,1,2026,18,May,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-05-09_250197_Gowhole Access Point Survey_Friday_Day_W6_MM.xlsm,Survey,AMCO,Gowhole Access Point Survey,250197,05/09/2025,Friday,Day,6,06:00:00,15:00:00,05:00:00,08:00:00,12:00:00,04:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,6,2,1,2026,19,May,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-04-23_P-240245_Slaithwaite_Wednesday_Day_W4_MM.xlsm,Survey,CRSA,Slaithwaite,240245,04/23/2025,Wednesday,Day,4,06:00:00,19:00:00,05:00:00,08:30:00,16:30:00,08:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,4,1,1,2026,17,April,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-04-15_240102_Okehampton _Tuesday_Day_W3_MM.xlsm,Survey,Octavius,Okehampton,240102,04/15/2025,Tuesday,Day,3,07:30:00,15:30:00,05:00:00,08:00:00,11:00:00,03:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,3,1,1,2026,16,April,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-06-04_240245_Mossley Station- DR1672_Wednesday_Day_W10_OA.xlsm,Survey,CRSA,Mossley Station- DR1672,240245,06/04/2025,Wednesday,Day,10,04:30:00,16:30:00,06:00:00,10:00:00,16:00:00,06:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,10,3,1,2026,23,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-05-15_240198_WOC AP2 RRAP Compound_Thursday_Day_W3_OA.xlsm,Survey,Network Rail,WOC AP2 RRAP Compound,240198,05/15/2025,Thursday,Day,3,05:30:00,13:00:00,06:00:00,08:30:00,10:00:00,01:30:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,7,2,1,2026,20,May,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-06-06_250119_Aston-by-Stone_Friday_Day_W10_AL.xlsm,Survey,AMCO,Aston-by-Stone,250119,06/06/2025,Friday,Day,10,06:00:00,13:00:00,03:25:00,07:30:00,11:05:00,03:35:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,10,3,1,2026,23,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-06-24_240259_Bristol Temple Meads_Tuesday_Day_W13_AL.xlsm,Survey,Octavius,Bristol Temple Meads,240259,06/24/2025,Tuesday,Day,13,04:30:00,15:40:00,03:20:00,07:30:00,15:20:00,07:50:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,13,3,1,2026,26,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-06-05_240245_Mossley Station- DR1672_Thursday_Day_W10_OA.xlsm,Survey,CRSA,Mossley Station- DR1672,240245,06/05/2025,Thursday,Day,10,06:20:00,14:20:00,01:30:00,07:00:00,13:30:00,06:30:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,10,3,1,2026,23,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-08-11_250194_Par Station_Monday_Day_W20_JW.xlsm,Survey,Octavius,Par Station,250194,08/11/2025,Monday,Day,20,04:30:00,16:30:00,05:00:00,09:00:00,16:00:00,07:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,20,5,2,2026,33,August,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-08-26_250259_LNE_AMC_Edgware Rd_Tuesday_Night_W22_OA.xlsm,Survey,AMCO,LNE_AMC_Edgware Rd,250259,08/26/2025,Tuesday,Night,22,20:00:00,04:00:00,02:30:00,21:30:00,03:00:00,05:30:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,22,5,2,2026,35,August,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-07-26_250283_Macclesfield Station_Saturday_Night_W18_JW.xlsm,Survey,CRSA,Macclesfield Station,250283,07/26/2025,Saturday,Night,18,23:00:00,03:45:00,01:30:00,23:30:00,02:45:00,03:15:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,17,4,2,2026,30,July,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-08-27_250259_LNE_AMC_Edgware Rd_Wednesday_Night_W22_OA.xlsm,Survey,AMCO,LNE_AMC_Edgware Rd,250259,08/27/2025,Wednesday,Night,22,20:00:00,04:00:00,02:30:00,21:30:00,03:00:00,05:30:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,22,5,2,2026,35,August,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-09-07_250371_Crewe Drainage Replacement_Sunday_Day_W23_AL.xlsm,Survey,ReadyPower,Crewe Drainage Replacement,250371,09/07/2025,Sunday,Day,23,07:50:00,18:00:00,02:20:00,08:40:00,16:30:00,07:50:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,23,6,2,2026,36,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-08-29_250259_LNE_AMC_Edgware Rd_Friday_Night_W22_OA.xlsm,Survey,AMCO,LNE_AMC_Edgware Rd,250259,08/29/2025,Friday,Night,22,20:00:00,02:40:00,02:30:00,21:30:00,01:40:00,04:10:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,22,5,2,2026,35,August,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-09-14_250371_Crewe Catchpit Replacement_Sunday_Day_W25_PP.xlsm,Survey,ReadyPower,Crewe Catchpit Replacement,250371,09/14/2025,Sunday,Day,25,06:00:00,16:00:00,02:00:00,07:00:00,15:00:00,08:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,24,6,2,2026,37,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-09-19_250371_Crewe Drainage Replacement_Friday_Night_W25_AL.xlsm,Survey,ReadyPower,Crewe Drainage Replacement,250371,09/19/2025,Friday,Night,25,22:30:00,09:30:00,02:10:00,23:40:00,08:30:00,08:50:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,25,6,2,2026,38,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-09-19_250371_Crewe Drainage Replacement_Friday_Night_W25_AL - 1.xlsm,Survey,ReadyPower,Crewe Drainage Replacement,250371,09/19/2025,Friday,Night,25,22:30:00,09:30:00,02:10:00,23:40:00,08:30:00,08:50:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,25,6,2,2026,38,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-09-20_250371_Crewe Drainage Replacement_Saturday_Night_W25_AL.xlsm,Survey,ReadyPower,Crewe Drainage Replacement,250371,09/20/2025,Saturday,Night,25,23:00:00,10:30:00,01:40:00,23:50:00,09:40:00,09:50:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,25,6,2,2026,38,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-09-21_250371_Crewe Drainage Replacement_Sunday_Night_W25_AL.xlsm,Survey,ReadyPower,Crewe Drainage Replacement,250371,09/21/2025,Sunday,Night,25,23:00:00,05:40:00,01:40:00,23:50:00,04:50:00,05:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,25,6,2,2026,38,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-09-24_250328_Gobowen Topo Survey_Wednesday_Day_W26_AL.xlsm,Survey,Super-Rod,Gobowen Topo Survey,250328,09/24/2025,Wednesday,Day,26,07:20:00,12:20:00,02:55:00,08:50:00,10:55:00,02:05:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,26,6,2,2026,39,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-09-22_240259_Bristol Temple Meads_Monday_Day_W26_JW.xlsm,Survey,Octavius,Bristol Temple Meads,240259,09/22/2025,Monday,Day,26,05:00:00,15:30:00,02:45:00,07:15:00,15:00:00,07:45:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,26,6,2,2026,39,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-10-20_250407_Ashford Depot_Monday_Day_W30_OA.xlsm,Survey,Balfour Beatty,Ashford Depot,250407,10/20/2025,Monday,Day,30,08:00:00,18:30:00,03:15:00,09:30:00,16:45:00,07:15:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,30,7,3,2026,43,October,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-10-20_240259_Bristol Temple Meads_Monday_Day_W30_MM.xlsm,Survey,Octavius,Bristol Temple Meads,240259,10/20/2025,Monday,Day,30,06:00:00,16:30:00,05:00:00,08:30:00,14:00:00,05:30:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,30,7,3,2026,43,October,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250246_Guide Bridge CCTV_251006.xlsm,Survey,STORY,GUIDE BRIDGE,250246,10/06/2025,Monday,Night,28,21:30:00,04:00:00,02:50:00,23:00:00,02:40:00,03:40:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,28,7,3,2026,41,October,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-10-21_240259_Bristol Temple Meads_Tuesday_Day_W30_MM.xlsm,Survey,Octavius,Bristol Temple Meads,240259,10/21/2025,Tuesday,Day,30,06:00:00,16:30:00,05:30:00,08:30:00,13:30:00,05:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,30,7,3,2026,43,October,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-10-21_250407_Ashford Depot_Tuesday_Day_W30_OA.xlsm,Survey,Balfour Beatty,Ashford Depot,250407,10/21/2025,Tuesday,Day,30,06:00:00,16:00:00,03:00:00,07:30:00,14:30:00,07:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,30,7,3,2026,43,October,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250249_COWBROOK_CUTTINGS-11.10.2025-BM.xlsm,Survey,STORY,COWBROOK CUTTINGS,250249,10/11/2025,Saturday,Night,29,21:05:00,08:31:00,04:41:00,23:30:00,06:15:00,06:45:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,28,7,3,2026,41,October,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250246_Guide Bridge CCTV_251009.xlsm,Survey,STORY,GUIDE BRIDGE,250246,10/09/2025,Thursday,Night,28,21:30:00,06:00:00,03:10:00,23:00:00,04:20:00,05:20:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,28,7,3,2026,41,October,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250246_Guide Bridge CCTV_251007.xlsm,Survey,STORY,GUIDE BRIDGE,250246,10/07/2025,Tuesday,Night,28,21:30:00,04:00:00,02:50:00,23:00:00,02:40:00,03:40:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,28,7,3,2026,41,October,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25_01_02_240261_RAYLEIGH_STATION_Thursday_Night_W40_TM.xlsm,Survey,GEOBEAR,RAYLEIGH STATION,240261,01/02/2025,Thursday,Night,40,17:15:00,23:45:00,05:00:00,22:00:00,23:30:00,01:30:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,40,10,4,2025,1,January,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25_01_13_240102_Okehampton_Monday_Day_W42_TM.xlsm,Survey,Octavius,Okehampton,240102,01/13/2025,Monday,Day,42,06:00:00,17:00:00,06:15:00,11:30:00,16:15:00,04:45:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,42,10,4,2025,3,January,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25_01_14_240102_Okehampton_Tuesday_Day_W42_TM.xlsm,Survey,Octavius,Okehampton,240102,01/14/2025,Tuesday,Day,42,06:00:00,17:00:00,06:15:00,11:30:00,16:15:00,04:45:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,42,10,4,2025,3,January,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-01-20_P240245_DR253_Diggle_GPR_Monday_Night_W43_TM.xlsm,Survey,CRSA,DR253 Diggle GPR,240245,01/20/2025,Monday,Night,43,19:15:00,03:45:00,03:30:00,21:15:00,02:15:00,05:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,43,10,4,2025,4,January,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-01-22_P-240245_GI_Structures_Wednesday_Night_W43_JS.xlsm,SI-GI,CRSA,GI Structures,240245,01/22/2025,Wednesday,Night,43,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,43,10,4,2025,4,January,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-01-30_240345_CHURCH_ROAD_OB_Thursday_Night_W44_TM.xlsm,Survey,AMCO,CHURCH ROAD OB,240345,01/30/2025,Thursday,Night,44,20:30:00,05:20:00,02:50:00,22:00:00,04:00:00,06:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,44,10,4,2025,5,January,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-02-16_P240245_Slaithwaite_DR1428-DR1429_Thursday_Night_W47_TM.xlsm,Survey,CRSA,Slaithwaite - DR1428-DR1429,240245,02/16/2025,Thursday,Night,47,19:00:00,04:15:00,02:05:00,20:15:00,03:25:00,07:10:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,46,11,4,2025,7,February,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-02-17_P-240192_Leeds_LAIP_Surveys_Monday_Night_W47_JK.xlsm,Survey,BAM,Leeds LAIP Surveys,240192,02/17/2025,Monday,Night,47,20:00:00,06:30:00,05:05:00,23:00:00,04:25:00,05:25:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,47,11,4,2025,8,February,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-02-27_P240245_Slaithwaite_DR1428-DR1429_Thursday_Night_W48_TM.xlsm,Survey,CRSA,Slaithwaite - DR1428-DR1429,240245,02/27/2025,Thursday,Night,48,20:00:00,05:15:00,04:45:00,23:30:00,04:00:00,04:30:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,48,11,4,2025,9,February,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-03-12_240245_Mossley_Station_DR1672_Wednesday_Day_W50_MM.xlsm,Survey,CRSA,Mossley Station- DR1672,240245,03/12/2025,Wednesday,Day,50,06:30:00,17:30:00,03:30:00,08:00:00,15:30:00,07:30:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,50,12,4,2025,11,March,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-03-14_240245_Wakefield_Rd_Compound_Friday_Day_W50_MM.xlsm,Survey,CRSA,Wakefield Rd Compound,240245,03/14/2025,Friday,Day,50,05:45:00,16:00:00,04:30:00,07:45:00,13:30:00,05:45:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,50,12,4,2025,11,March,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-04-09_240356_MEC_6761B_Souththorpe_Farm_Wednesday_Day_W2_JJ.xlsm,Survey,AMCO,MEC 6761B Souththorpe Farm,240356,04/09/2025,Wednesday,Day,2,05:45:00,13:00:00,04:40:00,07:50:00,10:25:00,02:35:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,2,1,1,2026,15,April,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-05-19_230030_Leeds_Deflection_Monitoring_Day_W8.xlsm,Monitoring,AMCO,Leeds Deflection Monitoring,230030,05/19/2025,0,Day,8,05:30:00,09:30:00,03:05:00,06:50:00,07:45:00,00:55:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,8,2,1,2026,21,May,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-05-30_240198_WOC_AP2_RRAP_Compound_Friday_Day_W9_TM.xlsm,Survey,Network Rail,WOC AP2 RRAP Compound,240198,05/30/2025,Friday,Day,9,06:00:00,14:00:00,05:45:00,08:15:00,10:30:00,02:15:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,9,2,1,2026,22,May,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-09-06_240207_OLE_Monitoring_Saturday_Night_W24_JD.xlsm,Monitoring,Amey,OLE Monitoring,240207,09/06/2025,Saturday,Night,24,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,23,6,2,2026,36,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-09-06_250269_Kentish_Town_Saturday_Night_W24_PW.xlsm,Monitoring,CK Rail,Kentish Town,250269,09/06/2025,Saturday,Night,24,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,23,6,2,2026,36,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-09-12_240193_Wolverhamptom_MDU_Friday_Day_W23_JJ.xlsm,Monitoring,CK Rail,Wolverhamptom MDU,240193,09/12/2025,Friday,Day,23,07:40:00,13:00:00,02:40:00,09:00:00,11:40:00,02:40:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,24,6,2,2026,37,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-10-25_240245_STANDEDGE TUNNEL GAUGING_Saturday_Night_W31_KZ.xlsm,Survey,CRSA,STANDEDGE TUNNEL GAUGING,240245,10/25/2025,Saturday,Night,31,23:00:00,04:00:00,00:35:00,23:30:00,03:55:00,04:25:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,30,7,3,2026,43,October,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-10-29_250269_Kentish Town_Wednesday_Day_W31_JW.xlsm,Survey,CK Rail,Kentish Town,250269,10/29/2025,Wednesday,Day,31,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,31,7,3,2026,44,October,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-10-31_230030_Leeds Deflection_Friday_Day_W31_AL.xlsm,Monitoring,AMCO,Leeds Deflection,230030,10/31/2025,Friday,Day,31,06:00:00,10:40:00,01:55:00,06:50:00,09:35:00,02:45:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,31,7,3,2026,44,October,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-11-07_250371_Crewe Drainage Replacement_Friday_Night_W25_AL.xlsm,Survey,ReadyPower,Crewe Drainage Replacement,250371,11/07/2025,Friday,Night,25,22:30:00,05:40:00,01:50:00,23:30:00,04:50:00,05:20:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,0,0,0,0,0,,,,,32,8,3,2026,45,November,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-01-18_250019_Emergency Monitoring G0825_Saturday_Day_W43_OA.xlsm,Monitoring,AMCO,Emergency Monitoring G0825,250019,01/18/2025,Saturday,Day,43,06:30:00,10:30:00,02:00:00,07:30:00,09:30:00,02:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,8,738,8,763,25,,,,,42,10,4,2025,3,January,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-01-19_250019_Emergency Monitoring G0825_Sunday_Day_W43_OA.xlsm,Monitoring,AMCO,Emergency Monitoring G0825,250019,01/19/2025,Sunday,Day,43,06:30:00,09:30:00,02:00:00,07:30:00,08:30:00,01:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,8,738,8,763,25,,,,,42,10,4,2025,3,January,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-03-05_250019_Lancelot Rd - G0825 Scanning_Wednesday_Day_W49_OA.xlsm,Monitoring,AMCO,Lancelot Rd - G0825 Scanning,250019,03/05/2025,Wednesday,Day,49,09:30:00,14:30:00,03:15:00,11:30:00,13:15:00,01:45:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,8,738,8,763,25,,,,,49,12,4,2025,10,March,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-04-03_250019_Lancelot Rd - G0825 Scanning_Thursday_Day_W1_OA.xlsm,Monitoring,AMCO,Lancelot Rd - G0825 Scanning,250019,04/03/2025,Thursday,Day,1,06:00:00,11:00:00,03:00:00,07:30:00,09:30:00,02:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,8,738,8,763,25,,,,,1,1,1,2026,14,April,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-02-01_1071_Acton Lane - Setting Out_Saturday_Night_W45_MM.xlsm,Survey,AMCO,Acton Lane - Setting Out,1071,02/01/2025,Saturday,Night,45,20:30:00,03:30:00,06:00:00,23:30:00,00:30:00,01:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,6,59,6,89,30,,,,,44,11,4,2025,5,February,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-02-22_1071_Acton Lane - Setting Out_Saturday_Night_W48_OA.xlsm,Survey,AMCO,Acton Lane - Setting Out,1071,02/22/2025,Saturday,Night,48,22:30:00,02:00:00,02:00:00,23:30:00,01:00:00,01:30:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,6,59,6,89,30,,,,,47,11,4,2025,8,February,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-03-08_1071_Acton Lane - Setting Out_Saturday_Night_W50_OA.xlsm,Survey,AMCO,Acton Lane - Setting Out,1071,03/08/2025,Saturday,Night,50,23:00:00,01:30:00,02:00:00,00:00:00,00:30:00,00:30:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,6,59,6,89,30,,,,,49,12,4,2025,10,March,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/25-06-30_P-240098_Milton Keynes Drainage_Monday_Night_W14_KZ.xlsm,Survey,CRSA,Milton Keynes Drainage,240098,06/30/2025,Monday,Night,14,19:00:00,21:30:00,02:30:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,,,,49,856,50,779,1683,,,,,14,3,1,2026,27,June,2025
