sep=,
project_log_link,type,client,site_name,project_no,shift_start_date,shift_start_day,night_or_day_shift,week_no,leave_place_of_rest,arrive_place_of_rest,total_travel_time,arrive_on_site,leave_site,total_site_time,time_lost,time_lost_2,time_lost_3,time_lost_4,inorail_staff,elr,postcode,miles_from,yards_from,miles_to,yards_to,total_yardage,was_shift_cancelled,staff_attended_count,subcontractors_attended_count,survey_grid,fiscal_week,fiscal_month,fiscal_quarter,fiscal_year,calendar_week,calendar_month,calendar_year
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240259_SI-GI_MMR_-_Midland_Retail_Rooms_25-09-10_W24_Wednesday_Day_AL.xlsm,SI-GI,Octavius,MMR - Midland Retail Rooms,240259,09/10/2025,Wednesday,Day,24,07:30:00,13:30:00,01:00:00,08:00:00,13:00:00,05:00:00,00:00:00,00:00:00,00:00:00,00:00:00,Alex Lima,,,,,,,,No,1,3,TBC,24,6,2,2026,37,September,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250116_&_250119_Monitoring_Meaford_&_Aston-by-Stone_LC_25-08-25_W22_Monday_Day_LT.xlsm,Monitoring,AMCO,Meaford & Aston-by-Stone LC,250116,08/25/2025,Monday,Day,22,07:00:00,11:00:00,02:15:00,08:00:00,09:45:00,01:45:00,00:00:00,00:00:00,00:00:00,00:00:00,Lewis Thompson,,,,,,,,No,1,0,TBC,22,5,2,2026,35,August,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250116_&_250119_Monitoring_Meaford_&_Aston-by-Stone_LC_25-08-24_W22_Sunday_Day_LT.xlsm,Monitoring,AMCO,Meaford & Aston-by-Stone LC,250116,08/24/2025,Sunday,Day,22,07:00:00,11:00:00,02:00:00,08:00:00,10:00:00,02:00:00,00:00:00,00:00:00,00:00:00,00:00:00,Lewis Thompson,,,,,,,,No,1,0,TBC,21,5,2,2026,34,August,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250116_&_250119_Monitoring_Meaford_&_Aston-by-Stone_LC_25-08-23_W22_Saturday_Day_LT.xlsm,Monitoring,AMCO,Meaford & Aston-by-Stone LC,250116,08/23/2025,Saturday,Day,22,07:00:00,11:30:00,02:00:00,08:00:00,10:30:00,02:30:00,00:00:00,00:00:00,00:00:00,00:00:00,Lewis Thompson,,,,,,,,No,1,0,TBC,21,5,2,2026,34,August,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250116_&_250119_Monitoring_Meaford_&_Aston-by-Stone_LC_25-08-17_W21_Sunday_Day_LT.xlsm,Monitoring,AMCO,Meaford & Aston-by-Stone LC,250116,08/17/2025,Sunday,Day,21,07:00:00,13:30:00,02:30:00,08:00:00,12:00:00,04:00:00,00:00:00,00:00:00,00:00:00,00:00:00,Lewis Thompson,,,,,,,,No,1,0,TBC,20,5,2,2026,33,August,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/P250310_Monitoring_Hudderfield_UTX_25-08-15_W20_Friday_Night_TM.xlsm,Monitoring,BAM,Hudderfield UTX,250310,08/15/2025,Friday,Night,20,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,T Moncrieff,,,,,,,,No,1,0,TBC,20,5,2,2026,33,August,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240245_SI-GI_Stalybridge_Pull_Testing_&_GI_25-08-02_W1_Saturday_Day_JK.xlsm,SI-GI,CRSA,Stalybridge Pull Testing & GI,240245,08/02/2025,Saturday,Day,1,06:30:00,18:00:00,02:00:00,07:30:00,17:00:00,09:30:00,00:00:00,00:00:00,00:00:00,00:00:00,James Kinney,,,,,,,,No,2,2,TBC,18,5,2,2026,31,August,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240245_Monitoring_Stalybridge_Tunnel_Track_&_Structure_Monitoring__25-08-02_W19_Saturday_Day_JK.xlsm,Monitoring,CRSA,Stalybridge Tunnel Track & Structure Monitoring,240245,08/02/2025,Saturday,Day,19,06:30:00,18:30:00,02:30:00,07:45:00,17:15:00,09:30:00,00:00:00,00:00:00,00:00:00,00:00:00,James Kinney,,,,,,,,No,4,2,TBC,18,5,2,2026,31,August,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250202_SI-GI_Whitehaven_Tunnel_25-06-30_W14_Monday_Night_AL.xlsm,SI-GI,CRSA,Whitehaven tunnel,250202,06/30/2025,Monday,Night,14,18:30:00,06:20:00,05:30:00,21:50:00,04:10:00,06:20:00,00:00:00,00:00:00,00:00:00,00:00:00,Alex Lima,,,,,,,,No,1,6,TBC,14,3,1,2026,27,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/250202_SI-GI_Whitehaven_Tunnel_25-07-01_W14_Tuesday_Night_AL.xlsm,SI-GI,CRSA,Whitehaven tunnel,250202,07/01/2025,Tuesday,Night,14,18:50:00,02:10:00,02:35:00,21:15:00,02:00:00,04:45:00,00:00:00,00:00:00,00:00:00,00:00:00,Alex Lima,,,,,,,,No,1,6,TBC,14,4,2,2026,27,July,2025
